# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)   1.173 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.350 us   |        }
 0)   1.190 us    |        mutex_unlock();
 0) ! 231.223 us  |      }
 0) ! 234.017 us  |    }
 0)   1.229 us    |    mutex_lock();
 0)   1.275 us    |    mutex_unlock();
 0) ! 244.417 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.275 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)   2.003 us    |          rpm_resume();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)   9.063 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.200 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   4.623 us    |                  __of_match_node.part.0();
 0)   1.200 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.646 us   |                }
 0) + 13.975 us   |              }
 0) + 16.509 us   |            }
 0) + 18.928 us   |          }
 0)   1.175 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.232 us    |                  _raw_spin_lock_irqsave();
 0)   6.660 us    |                  __of_match_node.part.0();
 0)   1.202 us    |                  _raw_spin_unlock_irqrestore();
 0) + 13.660 us   |                }
 0) + 15.960 us   |              }
 0) + 18.272 us   |            }
 0) + 20.602 us   |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.158 us    |              of_match_device();
 0)   3.793 us    |            }
 0)   6.279 us    |          }
 0)   1.227 us    |          _raw_spin_lock_irqsave();
 0)   1.212 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.191 us    |                  _raw_spin_lock_irqsave();
 0)   4.172 us    |                  __of_match_node.part.0();
 0)   1.252 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.047 us   |                }
 0) + 13.310 us   |              }
 0) + 15.845 us   |            }
 0) + 18.277 us   |          }
 0)   1.250 us    |          _raw_spin_lock_irqsave();
 0)   1.198 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   4.170 us    |                  __of_match_node.part.0();
 0)   1.218 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.031 us   |                }
 0) + 13.323 us   |              }
 0) + 15.777 us   |            }
 0) + 18.175 us   |          }
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.179 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.192 us    |                  _raw_spin_lock_irqsave();
 0)   4.274 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.215 us   |                }
 0) + 13.474 us   |              }
 0) + 15.810 us   |            }
 0) + 18.169 us   |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.233 us    |                  _raw_spin_lock_irqsave();
 0)   4.278 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.265 us   |                }
 0) + 13.567 us   |              }
 0) + 15.866 us   |            }
 0) + 18.165 us   |          }
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)   1.178 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   9.815 us    |                  __of_match_node.part.0();
 0)   1.214 us    |                  _raw_spin_unlock_irqrestore();
 0) + 16.838 us   |                }
 0) + 19.087 us   |              }
 0) + 21.435 us   |            }
 0) + 23.855 us   |          }
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0) ! 198.228 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.201 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.190 us    |            rpm_check_suspend_allowed();
 0)   3.480 us    |          }
 0)   1.184 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.534 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.181 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.145 us    |            rpm_check_suspend_allowed();
 0)   3.592 us    |          }
 0)   1.186 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.495 us   |        }
 0)   1.190 us    |        mutex_unlock();
 0) ! 239.088 us  |      }
 0) ! 241.672 us  |    }
 0)   1.213 us    |    mutex_lock();
 0)   1.224 us    |    mutex_unlock();
 0) ! 251.217 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.374 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.184 us    |          _raw_spin_lock_irqsave();
 0)   1.535 us    |          rpm_resume();
 0)   1.188 us    |          _raw_spin_unlock_irqrestore();
 0)   8.801 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.223 us    |          _raw_spin_lock_irqsave();
 0)   1.320 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.798 us    |                  __of_match_node.part.0();
 0)   1.165 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.863 us   |                }
 0) + 13.234 us   |              }
 0) + 17.524 us   |            }
 0) + 19.995 us   |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.302 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.192 us    |                  _raw_spin_lock_irqsave();
 0)   4.815 us    |                  __of_match_node.part.0();
 0)   1.220 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.763 us   |                }
 0) + 14.126 us   |              }
 0) + 16.447 us   |            }
 0) + 18.741 us   |          }
 0)   1.168 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.257 us    |              of_match_device();
 0)   3.606 us    |            }
 0)   5.895 us    |          }
 0)   1.196 us    |          _raw_spin_lock_irqsave();
 0)   1.181 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.189 us    |                  _raw_spin_lock_irqsave();
 0)   3.280 us    |                  __of_match_node.part.0();
 0)   1.193 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.320 us   |                }
 0) + 12.555 us   |              }
 0) + 14.873 us   |            }
 0) + 17.158 us   |          }
 0)   1.187 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.216 us    |                  _raw_spin_lock_irqsave();
 0)   3.377 us    |                  __of_match_node.part.0();
 0)   1.166 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.392 us   |                }
 0) + 12.650 us   |              }
 0) + 14.982 us   |            }
 0) + 17.465 us   |          }
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)   1.290 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.192 us    |                  _raw_spin_lock_irqsave();
 0)   3.270 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.228 us   |                }
 0) + 12.598 us   |              }
 0) + 14.963 us   |            }
 0) + 17.270 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.192 us    |                  _raw_spin_lock_irqsave();
 0)   3.270 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.250 us   |                }
 0) + 12.640 us   |              }
 0) + 14.977 us   |            }
 0) + 17.335 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.192 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   7.272 us    |                  __of_match_node.part.0();
 0)   1.235 us    |                  _raw_spin_unlock_irqrestore();
 0) + 14.258 us   |                }
 0) + 16.505 us   |              }
 0) + 18.882 us   |            }
 0) + 21.229 us   |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) ! 189.554 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.195 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.207 us    |            rpm_check_suspend_allowed();
 0)   3.802 us    |          }
 0)   1.300 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.000 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.208 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.168 us    |            rpm_check_suspend_allowed();
 0)   3.427 us    |          }
 0)   1.171 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.453 us   |        }
 0)   1.159 us    |        mutex_unlock();
 0) ! 231.991 us  |      }
 0) ! 234.570 us  |    }
 0)   1.202 us    |    mutex_lock();
 0)   1.180 us    |    mutex_unlock();
 0) ! 244.938 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.465 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.230 us    |          _raw_spin_lock_irqsave();
 0)   1.534 us    |          rpm_resume();
 0)   1.150 us    |          _raw_spin_unlock_irqrestore();
 0)   8.615 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)   1.193 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   3.758 us    |                  __of_match_node.part.0();
 0)   1.190 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.132 us   |                }
 0) + 13.380 us   |              }
 0) + 15.957 us   |            }
 0) + 18.472 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.207 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.189 us    |                  _raw_spin_lock_irqsave();
 0)   4.783 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.758 us   |                }
 0) + 14.050 us   |              }
 0) + 16.417 us   |            }
 0) + 18.764 us   |          }
 0)   1.283 us    |          _raw_spin_lock_irqsave();
 0)   1.182 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.145 us    |              of_match_device();
 0)   3.538 us    |            }
 0)   5.885 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.217 us    |                  _raw_spin_lock_irqsave();
 0)   3.333 us    |                  __of_match_node.part.0();
 0)   1.193 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.290 us   |                }
 0) + 12.572 us   |              }
 0) + 14.877 us   |            }
 0) + 17.165 us   |          }
 0)   1.186 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   3.272 us    |                  __of_match_node.part.0();
 0)   1.193 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.265 us   |                }
 0) + 12.500 us   |              }
 0) + 14.830 us   |            }
 0) + 17.355 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.189 us    |                  _raw_spin_lock_irqsave();
 0)   3.283 us    |                  __of_match_node.part.0();
 0)   1.194 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.222 us   |                }
 0) + 12.507 us   |              }
 0) + 14.820 us   |            }
 0) + 17.121 us   |          }
 0)   1.309 us    |          _raw_spin_lock_irqsave();
 0)   3.484 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   3.503 us    |                  __of_match_node.part.0();
 0)   1.168 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.487 us   |                }
 0) + 12.735 us   |              }
 0) + 15.072 us   |            }
 0) + 17.390 us   |          }
 0)   1.189 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.242 us    |                  _raw_spin_lock_irqsave();
 0)   7.465 us    |                  __of_match_node.part.0();
 0)   1.224 us    |                  _raw_spin_unlock_irqrestore();
 0) + 14.613 us   |                }
 0) + 16.876 us   |              }
 0) + 19.202 us   |            }
 0) + 21.487 us   |          }
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) ! 190.605 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.185 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.183 us    |            rpm_check_suspend_allowed();
 0)   3.546 us    |          }
 0)   1.206 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.635 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.155 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.177 us    |            rpm_check_suspend_allowed();
 0)   3.420 us    |          }
 0)   1.157 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.317 us   |        }
 0)   1.405 us    |        mutex_unlock();
 0) ! 231.860 us  |      }
 0) ! 234.474 us  |    }
 0)   1.238 us    |    mutex_lock();
 0)   1.188 us    |    mutex_unlock();
 0) ! 244.374 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.256 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.183 us    |          _raw_spin_lock_irqsave();
 0)   1.449 us    |          rpm_resume();
 0)   1.220 us    |          _raw_spin_unlock_irqrestore();
 0)   8.467 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.210 us    |          _raw_spin_lock_irqsave();
 0)   1.239 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.239 us    |                  _raw_spin_lock_irqsave();
 0)   3.757 us    |                  __of_match_node.part.0();
 0)   1.200 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.030 us   |                }
 0) + 13.335 us   |              }
 0) + 15.905 us   |            }
 0) + 18.288 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.292 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   4.792 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.718 us   |                }
 0) + 14.035 us   |              }
 0) + 16.420 us   |            }
 0) + 18.732 us   |          }
 0)   1.172 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.257 us    |              of_match_device();
 0)   3.623 us    |            }
 0)   5.912 us    |          }
 0)   1.182 us    |          _raw_spin_lock_irqsave();
 0)   1.161 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   3.332 us    |                  __of_match_node.part.0();
 0)   1.248 us    |                  _raw_spin_unlock_irqrestore();
 0) + 12.447 us   |                }
 0) + 14.855 us   |              }
 0) + 17.160 us   |            }
 0) + 19.458 us   |          }
 0)   1.179 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.192 us    |                  _raw_spin_lock_irqsave();
 0)   3.400 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.503 us   |                }
 0) + 12.733 us   |              }
 0) + 15.210 us   |            }
 0) + 17.487 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.173 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.225 us    |                  _raw_spin_lock_irqsave();
 0)   3.275 us    |                  __of_match_node.part.0();
 0)   1.194 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.340 us   |                }
 0) + 12.606 us   |              }
 0) + 14.955 us   |            }
 0) + 17.273 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.290 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   3.369 us    |                  __of_match_node.part.0();
 0)   1.195 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.271 us   |                }
 0) + 12.618 us   |              }
 0) + 14.935 us   |            }
 0) + 17.207 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   7.135 us    |                  __of_match_node.part.0();
 0)   1.232 us    |                  _raw_spin_unlock_irqrestore();
 0) + 14.115 us   |                }
 0) + 16.495 us   |              }
 0) + 18.825 us   |            }
 0) + 21.259 us   |          }
 0)   1.199 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) ! 190.272 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.235 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.318 us    |            rpm_check_suspend_allowed();
 0)   3.617 us    |          }
 0)   1.151 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.565 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.155 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.163 us    |            rpm_check_suspend_allowed();
 0)   3.533 us    |          }
 0)   1.176 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.460 us   |        }
 0)   1.235 us    |        mutex_unlock();
 0) ! 230.680 us  |      }
 0) ! 233.864 us  |    }
 0)   1.350 us    |    mutex_lock();
 0)   1.328 us    |    mutex_unlock();
 0) ! 242.847 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.931 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.207 us    |          _raw_spin_lock_irqsave();
 0)   1.465 us    |          rpm_resume();
 0)   1.147 us    |          _raw_spin_unlock_irqrestore();
 0)   8.561 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.215 us    |          _raw_spin_lock_irqsave();
 0)   1.187 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.222 us    |                  _raw_spin_lock_irqsave();
 0)   4.078 us    |                  __of_match_node.part.0();
 0)   1.180 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.272 us   |                }
 0) + 15.650 us   |              }
 0) + 18.183 us   |            }
 0) + 20.602 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   4.827 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 11.788 us   |                }
 0) + 13.992 us   |              }
 0) + 16.380 us   |            }
 0) + 18.785 us   |          }
 0)   1.171 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)   1.145 us    |              of_match_device();
 0)   3.536 us    |            }
 0)   5.938 us    |          }
 0)   1.197 us    |          _raw_spin_lock_irqsave();
 0)   1.190 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.189 us    |                  _raw_spin_lock_irqsave();
 0)   3.282 us    |                  __of_match_node.part.0();
 0)   1.193 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.230 us   |                }
 0) + 12.503 us   |              }
 0) + 14.802 us   |            }
 0) + 17.118 us   |          }
 0)   1.186 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.215 us    |                  _raw_spin_lock_irqsave();
 0)   3.448 us    |                  __of_match_node.part.0();
 0)   1.205 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.480 us   |                }
 0) + 12.757 us   |              }
 0) + 15.212 us   |            }
 0) + 17.531 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.188 us    |                  _raw_spin_lock_irqsave();
 0)   3.275 us    |                  __of_match_node.part.0();
 0)   1.195 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.225 us   |                }
 0) + 12.460 us   |              }
 0) + 14.833 us   |            }
 0) + 17.205 us   |          }
 0)   1.190 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.189 us    |                  _raw_spin_lock_irqsave();
 0)   3.384 us    |                  __of_match_node.part.0();
 0)   1.187 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.343 us   |                }
 0) + 12.631 us   |              }
 0) + 15.100 us   |            }
 0) + 17.440 us   |          }
 0)   1.340 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.195 us    |                  _raw_spin_lock_irqsave();
 0)   7.140 us    |                  __of_match_node.part.0();
 0)   1.360 us    |                  _raw_spin_unlock_irqrestore();
 0) + 14.257 us   |                }
 0) + 16.485 us   |              }
 0) + 18.852 us   |            }
 0) + 21.160 us   |          }
 0)   1.198 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0) ! 190.560 us  |        }
 0)               |        __pm_runtime_idle() {
 0)   1.234 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.240 us    |            rpm_check_suspend_allowed();
 0)   3.553 us    |          }
 0)   1.198 us    |          _raw_spin_unlock_irqrestore();
 0) + 11.873 us   |        }
 0)               |        __pm_runtime_idle() {
 0)   1.188 us    |          _raw_spin_lock_irqsave();
 0)               |          rpm_idle() {
 0)   1.172 us    |            rpm_check_suspend_allowed();
 0)   3.452 us    |          }
 0)   1.287 us    |          _raw_spin_unlock_irqrestore();
 0) + 10.455 us   |        }
 0)   1.283 us    |        mutex_unlock();
 0) ! 233.562 us  |      }
 0) ! 236.286 us  |    }
 0)   1.230 us    |    mutex_lock();
 0)   1.179 us    |    mutex_unlock();
 0) ! 246.791 us  |  }
 0)               |  bus_probe_device() {
 0)               |    device_initial_probe() {
 0)               |      __device_attach() {
 0)   1.310 us    |        mutex_lock();
 0)               |        __pm_runtime_resume() {
 0)   1.230 us    |          _raw_spin_lock_irqsave();
 0)   1.413 us    |          rpm_resume();
 0)   1.150 us    |          _raw_spin_unlock_irqrestore();
 0)   8.457 us    |        }
 0)               |        bus_for_each_drv() {
 0)   1.201 us    |          _raw_spin_lock_irqsave();
 0)   1.209 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
 0)   1.198 us    |                  _raw_spin_lock_irqsave();
 0)   3.603 us    |                  __of_match_node.part.0();
 0)   1.210 us    |                  _raw_spin_unlock_irqrestore();
 0) + 10.762 us   |                }
 0) + 12.999 us   |              }
 0) + 15.437 us   |            }
 0) + 17.895 us   |          }
 0)   1.176 us    |          _raw_spin_lock_irqsave();
 0)   1.180 us    |          _raw_spin_unlock_irqrestore();
 0)               |          __device_attach_driver() {
 0)               |            platform_match() {
 0)               |              of_match_device() {
 0)               |                of_match_node() {
